"시공업체 일련번호","업체명","사업자등록번호","개업일자","대표자","업체연락처","사업종목","보유면허","주요시공분야","행정동코드","업체주소"
"1146","(주)레오건축","189-87-01977","2021-01-01","현수아","02-6339-6999","실내건축공사","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1154510300","서울특별시 금천구 시흥대로54길 1 지하1층"
"1145","포스코공사","838-32-00954","2021-05-25","김하림","","인테리어, 방수, 창호공사","없음","방수공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사","1147010100","서울특별시 양천구 신월로36길 11 1층"
"1144","신명건설","117-14-92969","2020-11-23","정기석","02-2601-6947","신축, 증축, 리모델링","건축사, 건축기사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,도장공사,단열공사,수장공사(도배,마감공사),전기(배관/배선)공사,조명공사","1147010100","서울특별시 양천구 신정중앙로 52 407호"
"1143","공감","110-17-76862","2011-05-20","김성욱","","인테리어, 가스시설시공","가스안전관리자","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(조적, 미장, 싱크대)","1141010200","서울특별시 서대문구 경기대로9안길 46 1층"
"1142","남선종합공사","112-01-55222","2005-03-18","최기현","02-838-6763","잡철, 샷시","없음","금속공사,창호 및 유리공사,단열공사","1162010200","서울특별시 관악구 관천로11길 14 1층"
"1141","(주)혁신","640-86-00836","2017-04-21","정양화","032-666-5100","창문, 문틀, 유리/금속구조물창호온실공사","없음","금속공사","1153011000","서울특별시 구로구 부일로1나길 14 (주)혁신"
"1131","153하우징","433-26-00272","2016-07-01","차현경","","벽지및장판, 도배, 실내장식및내장목공사업, 조명및공사, 건축자재(목재품), 전기자재","없음","목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),조명공사","1147010300","서울특별시 양천구 중앙로 329 1층"
"1121","(주)이경건설","117-81-83180","2013-02-06","이경숙","02-2065-3080","금속구조물, 창호, 인테리어","건설기술경력증(24년)","방수공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,단열공사","1156011700","서울특별시 영등포구 당산로54길 11 상가동 103호"
"1111","한국지엠건설(주)","429-81-01780","2020-02-27","이상용","02-6342-3004","종합건축공사","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사","1153010200","서울특별시 구로구 디지털로32나길 38 7층"
"1103","케이에스인테리어","385-15-00531","2017-06-19","김수환","","인테리어, 창호공사, 철골공사","없음","금속공사,지붕 및 홈통공사,창호 및 유리공사,단열공사,수장공사(도배,마감공사)","4145010100","경기도 하남시 하남대로 636 1층"
"1102","(주)디자인디미방","628-81-02692","2023-04-05","황세희","","실내건축공사업","없음","방수공사,목공사,도장공사,전기(배관/배선)공사,조명공사","1126010600","서울특별시 중랑구 신내로14길 36 202동 201호"
"1101","(주)미래씨앤씨","314-81-42757","2018-06-25","심재연","02-999-3755","철물공사, 시설물유지관리, 건축자재","없음","금속공사","1130510200","서울특별시 강북구 오현로20길 52 101호"
"1091","대영인테리어","113-01-27850","1997-03-29","최재욱","","인테리어","없음","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,난방설비공사(보일러)","1141011900","서울특별시 서대문구 증가로 201-1 대영인테리어"
"1082","신용설비","110-48-84084","1987-09-01","김진복","02-303-0595","보일러설비공사, 주택건설공사, 주택상하수도공사","방수기능사, 용접기능사, 배관기능사, 에너지롼리기능사, 공업배관기능사","방수공사,창호 및 유리공사,단열공사,급배수위생설비공사,난방설비공사(보일러)","1141012000","서울특별시 서대문구 증가로8길 42-14 1층 신용설비"
"1081","키움창호","342-85-01934","2022-08-29","김성덕","","창호, 실내장식","없음","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사)","1150010300","서울특별시 강서구 화곡로13길 107 상가비동 206호"
"1071","서울건축설비","207-05-17771","2012-01-13","강이구","","설비, 방수, 인테리어","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1121510300","서울특별시 광진구 아차산로57길 34 101호"
"1063","한성건설","587-29-00584","1991-03-29","김태규","","경미한 건설업","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1144010900","서울특별시 마포구 숭문길 28 지층"
"1051","(주)더힐로","714-88-01673","2020-04-21","안정우","02-352-7544","도배, 실내장식 및 내장목공사업`","실내건축산업기사","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1141012000","서울특별시 서대문구 가재울로4길 23 1층"
"1041","(주)SMD컨설턴트","834-88-00605","2017-01-20","홍의덕","","실내건축 인테리어","없음","목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1171010800","서울특별시 송파구 법원로11길 7 B동 1103호"
"1031","대성건축설비","113-06-84953","2000-06-05","이병관","","건설업","인테리어공사","방수공사,난방설비공사(보일러)","1147010300","서울특별시 양천구 가로공원로70길 9 1층"
"1013","(주)칠성건업","213-81-95330","1994-10-15","주재억","02-3461-7204","시설물유지관리, 미장방수, 방수자재","없음","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),조명공사","1168011800","서울특별시 강남구 남부순환로355길 13 서원빌딩 2층"
"1012","샤시명가","503-35-51368","2022-04-11","이주원","","유리 및 창호공사업","없음","창호 및 유리공사","2826011500","인천광역시 서구 이음5로 39 3009동 1704호"
"1011","수성건축","210-08-99708","2014-05-07","오성태","02-954-2101","인테리어, 주거용건물수리 보수및 계량설비(건당천오백만원미만)","없음","방수공사,창호 및 유리공사,급배수위생설비공사","1132010600","서울특별시 도봉구 도당로 104 수성건축"
"1001","아주건축공사","126-17-65720","2013-06-10","김명률","031-470-1455","내외장공사","없음","방수공사,목공사,금속공사,창호 및 유리공사,단열공사","4145012300","경기도 하남시 초이로 83 201호"
"981","니드디자인","777-04-01150","2018-12-01","전봉석","070-8018-7341","도배실내장식","컴퓨터응용밀링기능사","목공사,금속공사,창호 및 유리공사,도장공사,수장공사(도배,마감공사)","1144012500","서울특별시 마포구 성미산로7안길 24 102호 니드디자인"
"972","백년미래건축","210-17-72870","2009-07-10","이동열","02-905-1904","리모델링","난방시공인정기능사","방수공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,급배수위생설비공사,난방설비공사(보일러)","1130510300","서울특별시 강북구 한천로150길 58 백년미래건축"
"962","크린대장(주)","880-86-01845","2020-09-29","박용기","","인테리어공사","방수기능사","방수공사,창호 및 유리공사,수장공사(도배,마감공사),전기(배관/배선)공사","1121510100","서울특별시 광진구 긴고랑로8길 12 1층"
"961"," 성광건축산업","767-30-00906","2020-08-14","이광수","","주거용건물건설업, 비주거용건물건설업","없음","방수공사,목공사,창호 및 유리공사,단열공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1129013300","서울특별시 성북구 솔샘로5길 42-22 1층"
"943","영인테리어","344-62-00271","2018-09-19","조지영","","그외 기타 건축마무리 공사업","없음","목공사,창호 및 유리공사,타일공사,도장공사,수장공사(도배,마감공사)","1150010300","서울특별시 강서구 강서로5나길 109 B층 24호"
"941","(주)피에스피에스","344-62-00271","2023-03-17","이의정","02-1855-2550","전문건설 및 종합건설","굴착기운전기능사","방수공사,목공사,전기(배관/배선)공사,기타(상하수도 및 배관케어)","1120011400","서울특별시 성동구 성수일로11길 15 뚝섬리버빌 513호"
"931","가인","604-07-63811","2021-04-05","김판수","","샷시, 금속유리","없음","금속공사,지붕 및 홈통공사,창호 및 유리공사,단열공사","1147010200","서울특별시 양천구 목동중앙남로3길 35 가인"
"922","반석인테리어","864-18-01693","2022-04-25","조영환","02-6015-0038","종합인테리어, 침상, 구들장, 큐부","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(필림)","1162010200","서울특별시 관악구 난곡로11길 4 203호"
"921","(주)평천이앤씨","557-88-02730","2023-08-18","최숙","","방수, 미장, 도장","없음","방수공사,도장공사,전기(배관/배선)공사","1111016200","서울특별시 종로구 대학로 34 1층"
"912","(주)한울이엔아이","303-86-01955","2021-03-10","이상호","","건축, 실내장식, 인테리어","없음","목공사,창호 및 유리공사,수장공사(도배,마감공사),조명공사,기타(경량공사)","1135010500","서울특별시 노원구 덕릉로124길 31 한올이엔아이"
"911","창호공장","393-03-01159","2019-05-03","정선희","","창호","없음","창호 및 유리공사","4145011800","경기도 하남시 이성로41번길 222-26 나동전체"
"903","(주)노나","462-86-01176","2019-01-22","한준식","","실내건축공사업, 기계가스설비","건축초급, 온수온돌기능사, 건축도장기능사, 거푸집기능사","목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","4139010200","경기도 시흥시 신천로 80 1~2호"
"902","153디자인","155-01-01233","2018-08-27","천석필","","인테리어, 집수리, 광고물설치","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,전기(배관/배선)공사,조명공사","1156013300","서울특별시 영등포구 디지털로 402 153디자인"
"901","(주)위아온디자인건축","702-81-02331","2022-01-10","최우성, 정효순","02-2043-0404","실내건축공사업,부동산 개발 및 시행업, 디자인설계용역업, 건물시설관리업","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1129013600","서울특별시 성북구 월곡로14길 24 상가동 110호"
"892","인테리어&건식난방","210-02-81910","1999-09-15","박병채","02-955-2426","실내인테리어","도배기능사, 방수기능사, 건축도장기능사","방수공사,타일공사,도장공사,수장공사(도배,마감공사),난방설비공사(보일러)","1132010800","서울특별시 도봉구 도봉로177길 25 장수빌라 지층"
"891","아세아종합건축","352-05-00323","2016-05-20","박성익","","인테리어","방수기능사","방수공사,도장공사,단열공사,수장공사(도배,마감공사)","1130510300","서울특별시 강북구 노해로3길 17 그린타워 A동 201호, 302호"
"882","(주)현백종합건설","321-87-02532","2022-08-22","구현철","","건축공사업","건축공사업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","4139010200","경기도 시흥시 삼미시장1길 9 2층"
"875","더나름디자인","691-56-00569","2022-04-25","윤현승","","도배, 실내장식 및 내장 목공사업","없음","목공사","1132010600","서울특별시 도봉구 시루봉로 193 더나름빌딩 1층 101호"
"874","(주)화신종합건설","866-86-01970","2020-10-22","이명원","02-304-8848","건축공사업","건축도장기능사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1141011900","서울특별시 서대문구 거북골로18길 25 203호"
"872","(주)아트맥","469-86-02671","2023-07-01","도기현","","실내건축공사업, 건축공사업","실내건축기사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1147010100","서울특별시 양천구 목동동로12길 60 상가동 112호"
"862","(주)티앤디웍스","106-86-72510","2010-01-01","최원오","","실내건축업","없음","목공사,타일공사,수장공사(도배,마감공사),전기(배관/배선)공사,조명공사","1117010900","서울특별시 용산구 청파로57길 28-7 청일빌리지 B103호"
"861","야무진 집수리","681-46-00525","2021-08-20","정재헌","","철거, 폐기물처리, 인테리어, 집수리","없음","방수공사,금속공사,도장공사,기타(좂기물처리)","1117013000","서울특별시 용산구 소월로38길 19 지층"
"852","안심주택관리주식회사","618-88-02791","2022-11-16","임창화","","미장, 타일 및 방수공사업, 주택및건물관련 자문 및 컨설팅업","배관, 타일, 미장, 조적, 방수, 건축도장기능사","방수공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러),기타(미장, 조적)","1138010200","서울특별시 은평구 통일로62길 7 서울시50플러스 서부캠퍼스 3층 스페이스 힘나"
"842","미림 누수탐지공사","105-08-83035","2012-10-08","안병국","02-308-0404","보일러 배관부속품, 인테리어, 누수탐지공사, 디지탈도어설치및수리","난방시공업, 가스시설시공업","방수공사,급배수위생설비공사,난방설비공사(보일러),기타(누수탐지 및 수리)","1141011800","서울특별시 서대문구 연희로41가길 34 지하1층"
"841","디자인뱅크","209-29-54502","2006-03-05","정순호","","종합공사(타일, 설비, 방수), 가스난방공사","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(가구)","1129013400","서울특별시 성북구 삼양로 72 1층"
"831","보미건축설비","209-03-49595","2010-03-04","김태수","","누수탐지, 상하수도설비, 집수리(경미한공사)","없음","타일공사,급배수위생설비공사,기타(누수탐지공사)","1129013300","서울특별시 성북구 정릉로36길 26 1층"
"826","삼영인테리어","117-10-92281","2008-02-04","노명현","02-2645-5155","인테리어","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1147010200","서울특별시 양천구 목동동로12길 43 삼영인테리어"
"824","형제기업","210-25-75116","2025-04-22","하태주","","창호, 철물, 건축, 실내건축, 수도설비공사, 유지보수","금속제창호기능사","방수공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1130510300","서울특별시 강북구 한천로 1164 형제기업"
"814","(주)송림디앤씨","737-88-02317","2022-04-14","김용진, 정유진","","실내건축공사업, 건축공사업","건축산업기사","방수공사,목공사,창호 및 유리공사,도장공사","1174010900","서울특별시 강동구 천중로 23 203호"
"801","소망종합공사","108-08-80551","2001-04-01","박종민","","유리, 창호, 잡철, 유리, 인테리어","없음","금속공사,창호 및 유리공사","1159010200","서울특별시 동작구 국사봉길 37 1층"
"797","일광건설","289-20-01804","2023-01-27","강덕룡","","미장, 타일 및 방수공사업, 도배, 실내장식 및 내장, 목공사업","없음","방수공사,목공사,창호 및 유리공사,타일공사,수장공사(도배,마감공사)","1138010800","서울특별시 은평구 연서로2길 4 1층 101호"
"796","(주)코데","323-88-01900","2020-12-04","정지석","02-2135-5121","인테리어","실내건축업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1150010500","서울특별시 강서구 공항대로 186 806호"
"795","한양인테리어","110-06-71537","2002-03-19","이석영","02-357-8024","벽지, 장판, 실내장식","없음","목공사,타일공사,도장공사,수장공사(도배,마감공사)","1138010700","서울특별시 은평구 응암로 279 상가 101호"
"793","빈티지타임즈","101-09-71247","2009-05-04","정호석","","인테리어","없음","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,단열공사,난방설비공사(보일러)","1111016000","서울특별시 종로구 창경궁로16길 20-6 빈티지타임즈"
"792","(주)올리브엔제펫토","128-86-67716","2011-12-01","조두형","","실내건축공사","건축도장기능사","방수공사,도장공사,단열공사,수장공사(도배,마감공사)","4128710200","경기도 고양시 일산서구 강성로 147 302호"
"782","한신이엔지","210-03-18957","1999-12-12","신영진","","위생난방공사외, 철물공사 및 수리","배관기능사, 에너지관리기능사, 금속재창호기능사, 방화관리자, 위험물취급자","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,단열공사,급배수위생설비공사,조명공사","1130510300","서울특별시 강북구 노해로33나길 14 201호"
"781","스타인테리어","220-05-86892","2005-03-09","곽진숙","02-6084-0101","인테리어 ","건축도장기능사, 온수온돌기능사","방수공사,도장공사,난방설비공사(보일러)","1129013400","서울특별시 성북구 길음로9길 50 래미안9단지 상가동 122호"
"777","미래건축","407-17-11351","2022-10-05","이기원","","설비","건축도장기능사, 불도저운전기능사","방수공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러)","1132010600","서울특별시 도봉구 도당로13길 59 1층"
"775","삼정인테리어","636-14-00048","2014-08-14","홍재홍","","인테리어","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1153010800","서울특별시 구로구 오류로8길 83 1층"
"774","마메든","255-32-00654","2019-04-05","김일군","","인테리어공사","건축기사, 건축산업기사, 건축일반시공기능장, 건축일반시공산업기사, 실내건축산업기사","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,수장공사(도배,마감공사),난방설비공사(보일러),조명공사","4136025630","경기도 남양주시 화도읍 재재기로74번길 9-4 마메든"
"762","한양","126-25-70193","2009-05-19","신동영","","설비보수 외","배관기능장, 온수온돌기능사, 조적기능사, 금속재창호기능사, 건축도장기능사, 타일기능사, 거","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러)","4161010800","경기도 광주시 순암로 172 한양"
"755","성진하우징","416-19-17765","2022-07-02","김정진","","미장, 타일 및 방수공사, 도배, 실내장식 및 내장목공사업","없음","방수공사,목공사,타일공사,도장공사,난방설비공사(보일러)","1150010300","서울특별시 강서구 까치산로 6 201호"
"752","돌쇠ENG","204-07-14537","2012-11-10","윤용호","02-486-8900","건설하도급, 인테리어","방수기능사, 난방시공업인정이능사, 건축(설계?시공 등)초급기술자","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1174010800","서울특별시 강동구 풍성로 136 상가동 114호"
"751","(주)한맥콘텍","120-86-10295","2000-08-18","이인재","02-547-7753","건축공사업, 시설물유지관리업","건축기사 특급","방수공사,금속공사,창호 및 유리공사,단열공사,수장공사(도배,마감공사)","1168010300","서울특별시 강남구 개포로25길 16 덕산빌딩 2층"
"746","인컴큐","105-11-70205","2006-02-14","정상길","02-308-9022","인테리어공사","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),조명공사","1144012500","서울특별시 마포구 모래내로7길 38 서원빌딩 4층 401-3호"
"741","대한건축","658-08-00824","2018-05-10","김창희","02-491-8884","인테리어공사, 벽지, 장판, 건축자재","없음","방수공사,목공사,창호 및 유리공사,타일공사,난방설비공사(보일러),조명공사","1126010600","서울특별시 중랑구 봉화산로 221 121호"
"733","명성건축설비","139-05-06705","2018-04-10","최선옥","","실내건축","없음","방수공사,타일공사,급배수위생설비공사,난방설비공사(보일러)","1123011000","서울특별시 동대문구 회기로25길 59 1층"
"724","다움디자인","619-02-40756","2021-11-01","정은화","","건설업, 서비스","없음","방수공사,창호 및 유리공사,타일공사,단열공사,난방설비공사(보일러)","1165010100","서울특별시 서초구 방배선행길 8 상가동 201호"
"723","(주)젤코바코리아","120-88-28649","2023-03-15","김호균","02-3672-1905","건설업","건축공사업","목공사,기타(개보수공사)","1111015200","서울특별시 종로구 서순라길 69 (주)젤코바코리아"
"722","대한공사","212-15-50621","2010-07-29","임정준","02-487-0059","설비, 장비임대","없음","방수공사,단열공사,급배수위생설비공사,난방설비공사(보일러)","1174010900","서울특별시 강동구 올림픽로 732 1층 대한공사"
"718","유한회사 에이치엠","696-81-01584","2019-06-30","김한흥","","건설업","실내건축공사, 건축건설인(초급), 건축도장기능사, 전기?특수용접기능사, 주택에너지진단사","목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,전기(배관/배선)공사,조명공사","1150010500","서울특별시 강서구 마곡중앙6로 21 5층 509-C06호"
"717","하나로지붕공사","228-17-00358","2017-02-06","김영곤","","지붕설비, 옥상방수설비, 스틸방수","없음","방수공사,금속공사,지붕 및 홈통공사,단열공사","4136025921","경기도 남양주시 진건읍 진건우회로 132-10 하나로지붕공사"
"716","(주)큐보이드디자인","169-81-01743","2020-05-11","김태윤","02-396-5321","실내건축, 전자상거래, 통신판매업","건축(설계, 시곧 등 품질관리), 방수기능사","방수공사,목공사,단열공사,수장공사(도배,마감공사)","1141011100","서울특별시 서대문구 통일로 362 1층"
"715","동남인테리어","119-08-82748","2014-07-14","박길성","02-803-2034","실내인테리어 설비공사","온수온돌 기능사","방수공사,목공사,타일공사,급배수위생설비공사,난방설비공사(보일러)","1154510300","서울특별시 금천구 독산로50길 89 삼익상가 103호"
"714","아리별인테리어","204-05-60060","2014-07-14","백종필","","인테리어","난방시공업, 온수보일러시공","방수공사,목공사,창호 및 유리공사,단열공사,난방설비공사(보일러)","1154510300","서울특별시 금천구 독산로10길 12 101호"
"713","DH창호","126-25-90904","2009-09-01","최지나","","플라스틱창호제조, 창호공사, 인테리어, 바닥재","없음","창호 및 유리공사","4145011900","경기도 하남시 춘궁로141번길 22-116 DH창호"
"712","(주)일하는소리","135-88-01638","2020-02-24","최용태","02-523-0903","실내건축, 인테리어, 폐기물처리, 일반건축공사","없음","방수공사,창호 및 유리공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사","1144012500","서울특별시 마포구 월드컵로36길 14 1314호"
"711","(주)셀핀랩","741-87-02279","2021-04-30","박창영","02-1544-4217","건축물 마무리 공사업","없음","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),전기(배관/배선)공사,조명공사","1121510900","서울특별시 광진구 능동로 209 327호"
"694","드림디자인","465-10-00491","2016-11-16","박성규","","인테리어(건당 일천오백만원 미만), 조경공사(건당 오천만원 미만), 도배, 실내장식 및 내","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1168010100","서울특별시 강남구 봉은사로 326 823호"
"691","믿음설비","129-23-64702","2008-06-01","송규영","","배관, 난방시공업, 가스시설시공업","가스시설공사 제3종, 난방공사 제2종","급배수위생설비공사,난방설비공사(보일러)","1174010700","서울특별시 강동구 구천면로47길 68 1층"
"661","(주)디자인광진","209-81-53947","2011-08-23","이명옥","","실내건축공사, 도매 및 소매업 서비스","실내건축공사업, 주택건설, 건축자재도매업, 토목엔지니어링","목공사,단열공사,수장공사(도배,마감공사)","1121510500","서울특별시 광진구 자양로13길 40 2층"
"659","함수협동조합","431-86-02512","2021-12-23","박상준","02-982-7085","인테리어","-","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),전기(배관/배선)공사","1130510300","서울특별시 강북구 인수봉로23길 37 1층"
"655","승인테리어","710-23-00620","2018-01-19","이승희","","인테리어(건당 1,500만원미만), 금속샷시, 창호, 가구, 부엌가구, 부동산 컨설팅","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1130510100","서울특별시 강북구 오패산로30길 67 1층"
"654","에이치에스 리모델링","780-11-01867","2022-07-29","조현수","","인테리어, 가구","-","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1147010100","서울특별시 양천구 오목로 155-4 신정레브 308호"
"621","우주건축","158-31-01132","2022-05-04","정찬문","","건축설비","가스시공업, 난방시공업","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","","서울특별시 중랑구 면목로78길 9 1층"
"613","선경	","849-17-01377","2021-03-03","QUANCHENZE","","인테리어, 건축자재","-","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),조명공사","1130510300","서울특별시 강북구 삼양로92길 9 1층 좌측"
"602","인테리어 청인","110-20-93949","2014-08-30","이현석","","건설업	","인테리어/보일러, 난방설비, 샤시, 방수, 누수, 각종보수공사","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1141011700","서울특별시 서대문구 홍연8길 3 1층"
"582","창민건업","216-01-69858","2009-05-18","	최일환","","창호, 금속, 판넬공사, 주택신축, 인테리어공사, 유지 보수","-","금속공사,지붕 및 홈통공사,창호 및 유리공사,단열공사","1126010100","서울특별시 중랑구 동일로102길 37 1층"
"572","주호금속","818-05-00143","2015-07-01","이장백","","인테리어공사, 철물, 금속, 샤시제조","-","금속공사,지붕 및 홈통공사,창호 및 유리공사,단열공사","1141011600","서울특별시 서대문구 신촌로11길 12 1층"
"571","그린상사","369-74-00195","2017-09-04","배준호","","도장공사업(건당 1,500만원 미만인 공사), 담배소매업","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1132010600","서울특별시 도봉구 도당로13길 55 1층"
"561","지엠에스건설㈜","209-81-43605","2007-02-01","고명수","","인테리어, 건축공사업, 시설물유지보수, 기계설비공사업, 건축자재","가스시설시공업 제3종, 난방시공업 제1종","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1129013800","서울특별시 성북구 장위로33길 7 1층"
"559","인터엔지니어링","216-03-66684","1996-02-05","최종섭","","배관, 난방공사, 전기공사, 리모델링, 시설물유지보수","가스시설시공업 제3종, 난방시공업 제2종","지붕 및 홈통공사,창호 및 유리공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1123010900","서울특별시 동대문구 망우로20길 83 1층 상가 101호"
"558","모모 인테리어(아트)","589-01-02357","2022-04-13","양영모","","인테리어, 집수리","-","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1156013200","서울특별시 영등포구 여의대방로49길 11 B102호 (신길동, 예림빌라)"
